organization_name,title_es,title_en,summary_es,summary_en,description_es,description_en,slug,primary_category,additional_categories,keywords_es,keywords_en,languages,service_methods,cost_type,eligibility_es,eligibility_en,required_documents_es,required_documents_en,application_steps_es,application_steps_en,hours_es,hours_en,accessibility_notes_es,accessibility_notes_en,service_area_es,service_area_en,phone,sms_phone,whatsapp_phone,email,website_url,address_line_1,address_line_2,city,state,postal_code,county,latitude,longitude,source_url,is_featured,is_emergency,last_verified_at,verification_notes
Leander Church of Christ,Brighter Days Food Pantry,Brighter Days Food Pantry,"Despensa semanal para hogares que viven en códigos postales seleccionados de Leander, Cedar Park y Liberty Hill.","Weekly food pantry for households in selected Leander, Cedar Park and Liberty Hill ZIP codes.",,,brighter-days-food-pantry,comida,,despensa|alimentos|Leander|Cedar Park,food pantry|groceries|Leander|Cedar Park,es|en,in_person|phone,free,"Atiende los ZIP 78641, 78613, 78642, 78645 y 78646; confirma antes de visitar.","Serves ZIP codes 78641, 78613, 78642, 78645 and 78646; confirm before visiting.",,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,"Miércoles, 5:30 p.m. a 7 p.m.","Wednesdays, 5:30–7 p.m.",,,Condado de Williamson,Williamson County,512-259-6928,,,brighterdaysfp@gmail.com,https://www.leanderchurchofchrist.org/food-pantry,300 Crystal Falls Parkway,,Leander,TX,78641,Williamson,30.556983014981,-97.846883168242,https://www.leanderchurchofchrist.org/food-pantry,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
The Caring Place,Alimentos y asistencia por crisis,Food and crisis assistance,"Despensa y posible ayuda con vivienda, servicios públicos, transporte, recetas y emergencias dentales verificables.","Food pantry and possible help with housing, utilities, transportation, prescriptions and verifiable dental emergencies.",,,the-caring-place-community-assistance,recursos-financieros,comida|vivienda|transporte|salud,despensa|renta|hipoteca|luz|dental|recetas,food pantry|rent|mortgage|utilities|dental|prescriptions,es|en,in_person|phone|online,free,"La asistencia depende del área de servicio, la necesidad documentada y los fondos disponibles.","Assistance depends on service area, documented need and available funding.",,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-943-0700,,,,https://www.caringplacetx.org/get-help,2000 Railroad Avenue,,Georgetown,TX,78626,Williamson,30.626922320429,-97.684634871524,https://www.caringplacetx.org/get-help,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Hill Country Community Ministries,Despensa y apoyo de emergencia,Food pantry and emergency support,"Despensa, tienda de segunda mano y apoyo para personas y familias que atraviesan una crisis.","Food pantry, thrift store and support for individuals and families experiencing a crisis.",,,hill-country-community-ministries-food-pantry,comida,otros-recursos,despensa|emergencia|alimentos|Leander,food pantry|emergency|groceries|Leander,es|en,in_person|phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,"Lunes a viernes, 9 a.m. a 12 p.m. y 1 p.m. a 3 p.m.; jueves hasta 7 p.m.","Monday–Friday, 9 a.m.–noon and 1–3 p.m.; Thursday until 7 p.m.",,,Condado de Williamson,Williamson County,512-259-0360,,,,https://www.hccm.org/get-help/,1005 Lacy Drive,,Leander,TX,78641,Williamson,30.565518895963,-97.849243821789,https://www.hccm.org/get-help/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Operation Liberty Hill,Despensa de alimentos de Liberty Hill,Liberty Hill food pantry,"Alimentos y algunos artículos no alimentarios, cuando están disponibles, para residentes del área de Liberty Hill.","Food and some non-food items, when available, for residents of the Liberty Hill area.",,,operation-liberty-hill-food-pantry,comida,otros-recursos,despensa|alimentos|Liberty Hill,food pantry|groceries|Liberty Hill,es|en,in_person|phone,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-778-5077,,,,https://operationlh.org/,1401 North US Highway 183,,Liberty Hill,TX,78642,Williamson,30.671305684876,-97.879932704908,https://operationlh.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Shepherd's Heart Food Pantry,Despensa y asistencia de Taylor,Taylor food pantry and assistance,"Despensa, tienda de segunda mano y posible ayuda con renta, servicios, recetas, transporte o alojamiento temporal.","Food pantry, thrift store and possible help with rent, utilities, prescriptions, transportation or temporary lodging.",,,shepherds-heart-taylor-assistance,comida,vivienda|transporte|recursos-financieros|otros-recursos,despensa|renta|servicios públicos|Taylor,food pantry|rent|utilities|Taylor,es|en,in_person|phone,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-352-5553,,,,https://shepherdshearttaylor.org/,121 East 2nd Street,,Taylor,TX,76574,Williamson,30.568769811003,-97.409213400634,https://shepherdshearttaylor.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Capital Area Rural Transportation System,Transporte público rural CARTS,CARTS rural public transportation,"Transporte local y regional en áreas rurales de Williamson County, con descuentos para personas mayores y con discapacidades.","Local and regional transportation in rural Williamson County, with discounts for older adults and people with disabilities.",,,carts-williamson-county-transportation,transporte,,autobús|transporte rural|viajes|CARTS,bus|rural transportation|rides|CARTS,es|en,in_person|phone|online,paid,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Áreas rurales del condado de Williamson y conexiones regionales,Rural Williamson County and regional connections,800-456-7433,,,,https://www.ridecarts.com/,,,,TX,,Williamson,,,https://www.ridecarts.com/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Faith in Action Georgetown,Transporte para adultos mayores,Transportation for older adults,Viajes gratuitos coordinados por voluntarios y otros apoyos para ayudar a adultos mayores a vivir de forma independiente.,Free volunteer-coordinated rides and other support that help older adults continue living independently.,,,faith-in-action-georgetown-rides,transporte,otros-recursos,adultos mayores|viajes|transporte|Georgetown,older adults|rides|transportation|Georgetown,es|en,in_person|phone|online,free,"Generalmente 65 años o más, vivir dentro de 7 millas de la oficina y cumplir los requisitos de movilidad.","Generally age 65 or older, living within 7 miles of the office and meeting mobility requirements.",,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,"Lunes a viernes, 9 a.m. a 4 p.m.","Monday–Friday, 9 a.m.–4 p.m.",,,Condado de Williamson,Williamson County,512-868-9544,,,,https://www.faithinactiongt.org/services,2425 Williams Drive,Suite 104,Georgetown,TX,78628,Williamson,30.65984143602,-97.689155722206,https://www.faithinactiongt.org/services,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Texas Health and Human Services,Transporte médico no urgente de Medicaid,Medicaid non-emergency medical transportation,"Viajes a citas médicas, dentales, hospitales o farmacias para personas elegibles sin otra forma de transporte.","Rides to medical and dental appointments, hospitals or pharmacies for eligible people without other transportation.",,,texas-medicaid-medical-transportation,transporte,salud,Medicaid|transporte médico|citas|farmacia,Medicaid|medical transportation|appointments|pharmacy,es|en,phone,free,Personas elegibles inscritas en Medicaid u otros programas cubiertos y sin transporte disponible.,Eligible people enrolled in Medicaid or another covered program who have no available transportation.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,"Texas, incluido el condado de Williamson","Texas, including Williamson County",877-633-8747,,,,https://www.hhs.texas.gov/services/health/medicaid-chip/medicaid-chip-members/medical-transportation-program,,,,TX,,Williamson,,,https://www.hhs.texas.gov/services/health/medicaid-chip/medicaid-chip-members/medical-transportation-program,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Lone Star Circle of Care,Clínica comunitaria de Cedar Park,Cedar Park community health clinic,"Atención primaria, pediatría, salud de la mujer y otros servicios; ofrece descuentos según ingresos para quienes califican.","Primary care, pediatrics, women’s health and other services, with income-based discounts for eligible patients.",,,lone-star-circle-of-care-cedar-park,salud,,clínica|atención primaria|pediatría|salud de la mujer,clinic|primary care|pediatrics|women health,es|en,in_person|phone|online,sliding_scale,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,877-800-5722,,,,https://lonestarcares.org/location/,1401 Medical Parkway,,Cedar Park,TX,78613,Williamson,30.531529417132,-97.81397338098,https://lonestarcares.org/location/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Lone Star Circle of Care,Clínica comunitaria de Round Rock,Round Rock community health clinic,Atención médica y servicios de salud conductual con opciones de descuento según ingresos para pacientes elegibles.,Medical and behavioral health services with income-based discount options for eligible patients.,,,lone-star-circle-of-care-aw-grimes,salud,,clínica|atención primaria|salud mental|Round Rock,clinic|primary care|behavioral health|Round Rock,es|en,in_person|phone|online,sliding_scale,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,877-800-5722,,,,https://lonestarcares.org/location/,2051 Gattis School Road,Suite 250,Round Rock,TX,78664,Williamson,30.496167440741,-97.654861821291,https://lonestarcares.org/location/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Sacred Heart Community Clinic,Atención médica gratuita para personas sin seguro,Free medical care for uninsured adults,Atención ambulatoria gratuita y apoyo de bienestar para adultos sin seguro que viven en Williamson County.,Free outpatient care and wellness support for uninsured adults living in Williamson County.,,,sacred-heart-community-clinic,salud,,clínica gratuita|sin seguro|adultos|salud,free clinic|uninsured|adults|health,es|en,in_person|phone|online,free,Adultos sin seguro médico que viven en el condado de Williamson; se requiere evaluación.,Uninsured adults living in Williamson County; screening is required.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-716-3929,,,,https://sacredheartclinic.org/,,,Round Rock,TX,78683,Williamson,,,https://sacredheartclinic.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Samaritan Health Ministries,Atención médica para adultos sin seguro,Health care for uninsured adults,Atención para enfermedades agudas y crónicas dirigida a adultos sin seguro de Williamson y Travis County.,Care for acute and chronic conditions for uninsured adults in Williamson and Travis counties.,,,samaritan-health-ministries-leander,salud,,sin seguro|clínica|enfermedad crónica|Leander,uninsured|clinic|chronic illness|Leander,es|en,in_person|phone,free,Adultos sin seguro que viven en los condados de Williamson o Travis; confirma requisitos.,Uninsured adults living in Williamson or Travis counties; confirm requirements.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-331-5828,,,,https://theshm.org/,904 Crystal Falls Parkway,,Leander,TX,78641,Williamson,30.553457955298,-97.854564408566,https://theshm.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Williamson County and Cities Health District,WilCo Care para atención médica,WilCo Care health coverage assistance,Programa de atención médica para residentes con ingresos muy bajos que no califican para Medicaid.,Health care program for county residents with very low income who are not eligible for Medicaid.,,,wcchd-wilco-care,salud,recursos-financieros,indigent care|sin seguro|WilCo Care|atención médica,indigent care|uninsured|WilCo Care|health care,es|en,phone|online,free,Residentes de Williamson County que no califican para Medicaid y cumplen límites de ingreso del programa.,Williamson County residents who are ineligible for Medicaid and meet program income limits.,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-248-3252,,,PESS@wilco.org,https://www.wcchd.org/healthy_people/health_resources.php,,,,TX,,Williamson,,,https://www.wcchd.org/healthy_people/health_resources.php,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Williamson County and Cities Health District,Nutrición y beneficios WIC,WIC nutrition and food benefits,"Educación nutricional, apoyo para lactancia, referidos de salud y alimentos suplementarios para familias elegibles.","Nutrition education, breastfeeding support, health referrals and supplemental foods for eligible families.",,,wcchd-wic-williamson,comida,salud,WIC|embarazo|bebés|nutrición|fórmula,WIC|pregnancy|infants|nutrition|formula,es|en,in_person|phone|online,free,"Personas embarazadas, madres recientes, bebés y menores de cinco años que cumplen los requisitos de WIC.","Pregnant people, new mothers, infants and children under five who meet WIC requirements.",,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-943-3680,,,,https://www.wcchd.org/healthy_people/wic/index.php,,,,TX,,Williamson,,,https://www.wcchd.org/healthy_people/wic/index.php,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Habitat for Humanity of Williamson County,Vivienda asequible y reparación de hogares,Affordable housing and home repair,Programas de propiedad de vivienda asequible y reparación para hogares del condado que cumplen los requisitos.,Affordable homeownership and repair programs for county households that meet program requirements.,,,habitat-williamson-county-housing,vivienda,recursos-financieros,vivienda asequible|reparación|propiedad de vivienda,affordable housing|home repair|homeownership,es|en,in_person|phone|online,unknown,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-863-4344,,,,https://williamsonhabitat.org/,2108 North Austin Avenue,,Georgetown,TX,78626,Williamson,30.662428179349,-97.667811066028,https://williamsonhabitat.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
"Community Action, Inc. of Central Texas",Educación para adultos y capacitación laboral,Adult education and workforce training,"Preparación GED/HSE, clases de inglés, alfabetización digital, orientación profesional y preparación universitaria.","GED/HSE preparation, English classes, digital literacy, career counseling and college preparation.",,,community-action-adult-education-williamson,educacion,recursos-financieros,GED|inglés|ESL|computación|empleo,GED|English|ESL|computers|employment,es|en,in_person|phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-985-5169,,,,https://www.communityaction.com/adult-education/,,,,TX,,Williamson,,,https://www.communityaction.com/adult-education/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Workforce Solutions Rural Capital Area,"Empleo, capacitación y preparación laboral","Employment, training and job preparation","Búsqueda de empleo, preparación laboral, capacitación, colocación y orientación sobre beneficios para personas elegibles.","Job search, work preparation, training, placement and benefits navigation for eligible residents.",,,workforce-solutions-williamson-county,educacion,recursos-financieros,empleo|trabajo|capacitación|TANF|SNAP,employment|jobs|training|TANF|SNAP,es|en,in_person|phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,Condado de Williamson,Williamson County,512-244-2207,,,,https://workforcesolutionsrca.com/,575 Round Rock West Drive,Building H,Round Rock,TX,78681,Williamson,30.503653373595,-97.689990916821,https://workforcesolutionsrca.com/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
TexasLawHelp.org,Información y formularios legales gratuitos,Free legal information and forms,"Información, formularios y herramientas sobre vivienda, familia, beneficios, deudas, violencia, inmigración y otros asuntos civiles.","Information, forms and tools covering housing, family, benefits, debt, violence, immigration and other civil legal matters.",,,texaslawhelp-williamson,ayuda-legal,,formularios legales|vivienda|familia|beneficios|deudas,legal forms|housing|family|benefits|debt,es|en,online|phone,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,"Texas, incluido el condado de Williamson","Texas, including Williamson County",512-477-6000,,,,https://texaslawhelp.org/,,,,TX,,Williamson,,,https://texaslawhelp.org/,false,false,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
Texas Advocacy Project,Ayuda legal para sobrevivientes de violencia,Legal help for survivors of violence,"Servicios legales gratuitos para personas afectadas por violencia doméstica, violencia en el noviazgo, agresión sexual o acoso.","Free legal services for people affected by domestic violence, dating violence, sexual assault or stalking.",,,texas-advocacy-project-williamson,ayuda-legal,otros-recursos,violencia doméstica|agresión sexual|acoso|abogado,domestic violence|sexual assault|stalking|lawyer,es|en,phone|online,free,,,,,Llama o visita el sitio web para confirmar disponibilidad y requisitos actuales.,Call or visit the website to confirm current availability and requirements.,,,,,"Texas, incluido el condado de Williamson","Texas, including Williamson County",800-374-4673,,,,https://www.texasadvocacyproject.org/,,,,TX,,Williamson,,,https://www.texasadvocacyproject.org/,false,true,2026-08-07,Información revisada con la guía de Williamson County y la fuente oficial el 2026-08-07. Confirmar disponibilidad antes de publicar.
