organization_name,title_es,title_en,summary_es,summary_en,slug,primary_category
"Meals on Wheels Central Texas","Meals on Wheels Central Texas","Meals on Wheels Central Texas","Entrega comidas y ofrece servicios de apoyo a personas mayores y adultos con movilidad limitada que cumplen los requisitos.","Delivers meals and provides support services to eligible older adults and adults with limited mobility.","meals-on-wheels-central-texas-meals-on-wheels-central-texas","otros-recursos"
"Mobile Loaves & Fishes","Alimentos móviles y artículos de primera necesidad","Mobile food and basic-needs supplies","Lleva alimentos, ropa y artículos básicos directamente a personas sin vivienda mediante equipos móviles de alcance comunitario.","Delivers food, clothing, and basic supplies directly to people experiencing homelessness through mobile outreach teams.","mobile-loaves-and-fishes-mobile-food-and-basic-needs-supplies","comida"
"Native Translation Services","Traducción, interpretación y notarización","Translation, interpretation and notarization","Ofrece servicios de traducción, interpretación y notarización para personas y familias.","Offers translation, interpretation, and notarization services for individuals and families.","native-translation-services-translation-interpretation-and-notarization","otros-recursos"
"SABEResPODER","Beneficios de salud familiar PODERsalud","PODERsalud family health benefits","Ofrece información y orientación para ayudar a familias a acceder a servicios de salud, bienestar y beneficios disponibles.","Provides information and guidance to help families access available health, wellness, and benefit services.","saberespoder-podersalud-family-health-benefits","salud"
"Safe Alliance","La Alianza SAFE","Safe Alliance","Ofrece refugio de emergencia, apoyo legal, educación y otros servicios para personas afectadas por violencia doméstica o sexual.","Provides emergency shelter, legal support, education, and other services for people affected by domestic or sexual violence.","safe-alliance-safe-alliance","vivienda"
"Society of St. Vincent de Paul","Programa de Farmacia SVdP","SVdP Pharmacy Program","Ayuda a personas elegibles sin seguro a obtener medicamentos recetados sin costo mediante su farmacia comunitaria.","Helps eligible uninsured individuals obtain prescription medications at no cost through its community pharmacy.","society-of-st-vincent-de-paul-svdp-pharmacy-program","salud"
"St. Austin Catholic Parish, Newman Hall Rent and utility assistance","St. Austin Catholic Parish, Newman Hall, Ayuda para el alquiler y los servicios públicos.","St. Austin Catholic Parish, Newman Hall Rent and utility assistance","Ofrece asistencia limitada para alquiler y servicios públicos a hogares elegibles en códigos postales específicos.","Provides limited rent and utility assistance to eligible households in specific ZIP codes.","st-austin-catholic-parish-newman-hall-rent-and-utility-assistance-st-austin-catholic-parish-newman-hall-rent-a","vivienda"
"St. George’s Senior Housing","St. George’s Court Apartments","St. George’s Senior Housing","Ofrece apartamentos asequibles para personas mayores y personas con discapacidades, sujeto a elegibilidad y disponibilidad.","Provides affordable apartments for older adults and people with disabilities, subject to eligibility and availability.","st-george-s-senior-housing-st-george-s-senior-housing","vivienda"
"St. Louise House","St. Louise House","St. Louise House","Ofrece asistencia para servicios públicos a familias monoparentales que cumplen los requisitos del programa.","Provides utility assistance to single-parent families who meet program requirements.","st-louise-house-st-louise-house","recursos-financieros"
"Texas Law Help","Texas Law Help","Texas Law Help","Ofrece información legal gratuita, guías y formularios para ayudar a las personas a entender asuntos legales civiles en Texas.","Provides free legal information, guides, and forms to help people understand civil legal matters in Texas.","texas-law-help-texas-law-help","ayuda-legal"
"Texas Law Help Legal Help Finder","Texas Law Help","Texas Law Help Legal Help Finder","Ayuda a encontrar organizaciones de asistencia legal y otros servicios jurídicos disponibles en Texas.","Helps people find legal aid organizations and other legal services available in Texas.","texas-law-help-legal-help-finder-texas-law-help-legal-help-finder","ayuda-legal"
"Texas Tenant Advisor","Información para inquilinos de Texas","Texas tenant information","Ofrece información sobre alquiler, derechos y responsabilidades de inquilinos en Texas. El contenido está disponible en inglés.","Provides information about renting and tenant rights and responsibilities in Texas.","texas-tenant-advisor-texas-tenant-information","ayuda-legal"
"The Goodwill Career and Technical Academy","Goodwill Career and Technical Academy","The Goodwill Career and Technical Academy","Ofrece educación, capacitación profesional y apoyo de empleo para adultos que desean avanzar académica o laboralmente.","Provides education, career training, and employment support for adults seeking academic or professional advancement.","the-goodwill-career-and-technical-academy-the-goodwill-career-and-technical-academy","otros-recursos"
"Travis County Utility Assistance","Travis County Community Centers","Travis County Utility Assistance","Ofrece programas de asistencia para servicios públicos a residentes elegibles del condado de Travis.","Provides utility assistance programs to eligible Travis County residents.","travis-county-utility-assistance-travis-county-utility-assistance","recursos-financieros"
"United Way for Greater Austin","Navegación de recursos ConnectATX","ConnectATX resource navigation","Ayuda a encontrar recursos actualizados de comida, vivienda, transporte, cuidado infantil, empleo y otras necesidades básicas.","Helps people find current resources for food, housing, transportation, child care, employment, and other basic needs.","united-way-for-greater-austin-connectatx-resource-navigation","otros-recursos"
"University United Methodist Church","Desayuno y ropa de Open Door","Open Door breakfast and clothing","El programa Open Door ofrece desayuno y ropa a personas que necesitan apoyo básico.","The Open Door program provides breakfast and clothing to people who need basic support.","university-united-methodist-church-open-door-breakfast-and-clothing","comida"
"Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","Ofrece orientación y asistencia legal civil gratuita a personas elegibles mediante solicitudes y clínicas legales.","Provides free civil legal guidance and assistance to eligible individuals through applications and legal clinics.","volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","ayuda-legal"
