slug,status,organization,code,detail
"community-action-adult-education-williamson","published","Community Action, Inc. of Central Texas","in_person_without_address",""
"workforce-solutions-williamson-county","published","Workforce Solutions Rural Capital Area","no_description_either_language",""
"texaslawhelp-williamson","published","TexasLawHelp.org","no_description_either_language",""
"texas-advocacy-project-williamson","published","Texas Advocacy Project","no_description_either_language",""
"catholic-charities-immigration-williamson","published","Catholic Charities of Central Texas","no_description_either_language",""
"rock-ride-on-center-georgetown","published","ROCK Ride On Center for Kids","no_description_either_language",""
"georgetown-housing-authority-programs","published","Georgetown Housing Authority","no_description_either_language",""
"round-rock-housing-authority-programs","archived","Round Rock Housing Authority","no_description_either_language",""
"taylor-housing-authority-programs","published","Taylor Housing Authority","no_description_either_language",""
"lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","no_description_either_language",""
"williamson-county-family-recovery-court","published","Williamson County","in_person_without_address",""
"bluebonnet-trails-mental-health","published","Bluebonnet Trails Community Services","in_person_without_address",""
"round-rock-rides","published","City of Round Rock","in_person_without_address",""
"link-cedar-park","published","City of Cedar Park","in_person_without_address",""
"senior-access-drive-a-senior","published","Senior Access","in_person_without_address",""
"operation-liberty-hill","published","Operation Liberty Hill","in_person_without_address",""
"literacy-council-williamson-county","published","Literacy Council of Williamson County","in_person_without_address",""
"workforce-solutions-rural-capital-area-williamson","published","Workforce Solutions Rural Capital Area","in_person_without_address",""
"volunteer-legal-services-central-texas-williamson","archived","Volunteer Legal Services of Central Texas","in_person_without_address",""
"williamson-county-court-appointed-attorney","published","Williamson County Indigent Defense","in_person_without_address",""
"programa-de-consejeria-hope-texas-baptist-children-s-home","archived","Texas Baptist Children's Home","no_description_either_language",""
"acceso-gratuito-a-computadoras-y-habilidades-digitales-austin-free-net","published","Austin Free-Net","address_without_in_person",""
"con-mi-madre-community-support-for-individuals-and-families","published","Con Mi Madre","in_person_without_address",""
"todos-juntos-learning-center-community-support-for-individuals-and-families","published","Todos Juntos Learning Center","in_person_without_address",""
"cary-council-on-at-risk-youth-education-and-learning-support-programs","published","CARY (Council on At Risk Youth)","in_person_without_address",""
"autism-society-of-texas-community-support-for-individuals-and-families","published","Autism Society of Texas","in_person_without_address",""
"live-like-cati-community-support-for-individuals-and-families","published","Live Like Cati","in_person_without_address",""
"partnerships-for-children-community-support-for-individuals-and-families","published","Partnerships for Children","in_person_without_address",""
"foster-angels-of-central-texas-support-for-foster-youth-and-families","published","Foster Angels of Central Texas","in_person_without_address",""
"foster-village-support-for-foster-youth-and-families","published","Foster Village","in_person_without_address",""
"texas-baptist-children-s-home-support-for-foster-youth-and-families","published","Texas Baptist Children's Home","in_person_without_address",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","in_person_without_address",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","phone_not_dashed","512-836-2150 ext. 176"
"upbring-support-for-foster-youth-and-families","published","Upbring","in_person_without_address",""
"hill-country-community-ministries-food-and-basic-needs-assistance","archived","Hill Country Community Ministries","in_person_without_address",""
"workforce-solutions-rural-capital-area-child-care-services-financial-and-basic-needs-assistance","published","Workforce Solutions Rural Capital Area- Child Care Services","in_person_without_address",""
"cross-creek-behavioral-health-hospital-mental-health-and-wellness-services","published","Cross Creek Behavioral Health Hospital","in_person_without_address",""
"dell-children-s-health-plan-mental-health-and-wellness-services","published","Dell Children's Health Plan","in_person_without_address",""
"healing-wings-llc-mental-health-and-wellness-services","published","Healing Wings LLC","in_person_without_address",""
"impact-counseling-services-inc-mental-health-and-wellness-services","published","Impact Counseling Services, Inc","in_person_without_address",""
"austin-youth-fitness-youth-development-and-recreation-programs","published","Austin Youth Fitness","in_person_without_address",""
"boys-and-girls-club-of-georgetown-youth-development-and-recreation-programs","published","Boys and Girls Club of Georgetown","in_person_without_address",""
"candlelight-ranch-youth-development-and-recreation-programs","published","Candlelight Ranch","in_person_without_address",""
"david-phillips-foundation-youth-development-and-recreation-programs","published","David Phillips Foundation","in_person_without_address",""
"explore-austin-youth-development-and-recreation-programs","published","Explore Austin","in_person_without_address",""
"just-keep-livin-foundation-youth-development-and-recreation-programs","published","just keep livin Foundation","in_person_without_address",""
"rowing-dock-youth-development-and-recreation-programs","published","Rowing Dock","in_person_without_address",""
"texas-parks-and-wildlife-department-tpwd-youth-development-and-recreation-programs","published","Texas Parks and Wildlife Department (TPWD)","in_person_without_address",""
"westcave-outdoor-discovery-center-youth-development-and-recreation-programs","published","Westcave Outdoor Discovery Center","in_person_without_address",""
"zilker-botanical-garden-youth-development-and-recreation-programs","published","Zilker Botanical Garden","in_person_without_address",""
"a-rocha-usa-community-support-for-individuals-and-families","published","A Rocha USA","in_person_without_address",""
"dress-for-success-austin-community-support-for-individuals-and-families","published","Dress for Success Austin","in_person_without_address",""
"vela-disability-and-family-support","published","VELA","in_person_without_address",""
"beat-4-beat-education-and-learning-support-programs","published","Beat 4 Beat","in_person_without_address",""
"breakthrough-ctx-education-and-learning-support-programs","published","Breakthrough CTX","in_person_without_address",""
"center-for-child-protection-education-and-learning-support-programs","published","Center for Child Protection","in_person_without_address",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","in_person_without_address",""
"keep-austin-beautiful-education-and-learning-support-programs","published","Keep Austin Beautiful","phone_not_dashed","512-391-0617 ext. 713"
"williamson-county-children-s-advocacy-center-education-and-learning-support-programs","published","Williamson County Children's Advocacy Center","in_person_without_address",""
"african-american-youth-harvest-foundation-community-support-for-individuals-and-families","published","African American Youth Harvest Foundation","in_person_without_address",""
"any-baby-can-community-support-for-individuals-and-families","archived","Any Baby Can","in_person_without_address",""
"austin-voices-for-education-and-youth-community-support-for-individuals-and-families","published","Austin Voices for Education and Youth","in_person_without_address",""
"fostering-hope-community-support-for-individuals-and-families","published","Fostering Hope","in_person_without_address",""
"texas-foster-family-association-community-support-for-individuals-and-families","published","Texas Foster Family Association","in_person_without_address",""
"christi-center-mental-health-and-wellness-services","published","Christi Center","in_person_without_address",""
"bridge-lacrosse-youth-development-and-recreation-programs","published","Bridge Lacrosse","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","in_person_without_address",""
"girls-empowerment-network-youth-development-and-recreation-programs","published","Girls Empowerment Network","phone_not_dashed","512-808-4044 ext. 805"
"seedling-youth-development-and-recreation-programs","published","Seedling","in_person_without_address",""
"travis-audubon-youth-development-and-recreation-programs","published","Travis Audubon","in_person_without_address",""
"austin-creative-reuse-education-and-learning-support-programs","published","Austin Creative Reuse","in_person_without_address",""
"partners-for-education-agriculture-and-sustainability-peas-education-and-learning-support-programs","published","Partners For Education Agriculture and Sustainability (PEAS)","in_person_without_address",""
"texas-wildlife-association-education-and-learning-support-programs","published","Texas Wildlife Association","in_person_without_address",""
"black-mamas-atx-community-support-for-individuals-and-families","published","Black Mamas ATX","in_person_without_address",""
"college-possible-texas-community-support-for-individuals-and-families","published","College Possible Texas","in_person_without_address",""
"the-georgetown-project-community-support-for-individuals-and-families","published","The Georgetown Project","in_person_without_address",""
"wonders-and-worries-community-support-for-individuals-and-families","published","Wonders & Worries","in_person_without_address",""
"uplift-texas-food-and-basic-needs-assistance","published","Uplift Texas","in_person_without_address",""
"austin-clubhouse-mental-health-and-wellness-services","published","Austin Clubhouse","in_person_without_address",""
"giving-austin-labor-support-gals-mental-health-and-wellness-services","published","Giving Austin Labor Support (GALS)","in_person_without_address",""
"lifeworks-mental-health-and-wellness-services","published","Lifeworks","in_person_without_address",""
"atx-kids-club-youth-development-and-recreation-programs","published","ATX Kids Club","in_person_without_address",""
"austin-youth-river-watch-youth-development-and-recreation-programs","published","Austin Youth River Watch","in_person_without_address",""
"crux-climbing-center-youth-development-and-recreation-programs","published","Crux Climbing Center","in_person_without_address",""
"families-in-nature-youth-development-and-recreation-programs","published","Families in Nature","in_person_without_address",""
"maven-youth-youth-development-and-recreation-programs","published","Maven Youth","in_person_without_address",""
"rbi-austin-youth-development-and-recreation-programs","published","RBI Austin","in_person_without_address",""
"shield-ranch-foundation-el-ranchito-youth-development-and-recreation-programs","published","Shield Ranch Foundation/El Ranchito","in_person_without_address",""
"urban-roots-youth-development-and-recreation-programs","published","Urban Roots","in_person_without_address",""
"black-women-who-community-support-for-individuals-and-families","published","Black Women Who","in_person_without_address",""
"mama-sana-vibrant-woman-community-support-for-individuals-and-families","published","Mama Sana Vibrant Woman","in_person_without_address",""
"el-buen-samaritano-community-support-for-individuals-and-families","archived","El Buen Samaritano","in_person_without_address",""
"helping-hand-home-for-children-support-for-foster-youth-and-families","published","Helping Hand Home for Children","in_person_without_address",""
"austin-habitat-for-humanity-housing-and-basic-needs-assistance","published","Austin Habitat for Humanity","in_person_without_address",""
"austin-child-guidance-center-mental-health-and-wellness-services","published","Austin Child Guidance Center","in_person_without_address",""
"centered-youth-clinic-and-consulting-mental-health-and-wellness-services","published","Centered Youth Clinic & Consulting","in_person_without_address",""
"creative-action-youth-development-and-recreation-programs","published","Creative Action","in_person_without_address",""
"girl-scouts-of-central-texas-youth-development-and-recreation-programs","published","Girl Scouts of Central Texas","in_person_without_address",""
"ywca-greater-austin-youth-development-and-recreation-programs","published","YWCA Greater Austin","in_person_without_address",""
"communitycare-primary-and-specialty-health-services","published","CommUnityCare","address_without_in_person",""
"ventanilla-de-salud-health-information-and-preventive-services","published","Ventanilla de Salud – Consulado General de México en Austin","service_area_names_city",""
"st-edward-s-community-counseling-clinic-community-counseling-services","published","St. Edward's Community Counseling Clinic","service_area_names_city",""
"capital-area-counseling-affordable-counseling-services","published","Capital Area Counseling","address_without_in_person",""
"austin-child-guidance-center-child-and-family-therapy","published","Austin Child Guidance Center","address_without_in_person",""
"dolores-catholic-church-food-pantry","published","Dolores Catholic Church","service_area_names_city",""
"double-up-food-bucks-food-assistance-benefits","published","Double Up Food Bucks Texas","service_area_names_city",""
"consulado-general-de-mexico-en-austin-consular-and-community-information","published","Consulado General de México en Austin","phone_not_dashed","512-478-2866 ext. 101"
"ut-austin-school-of-nursing-children-s-wellness-center","published","UT Austin School of Nursing","service_area_names_city",""
"navarro-high-school-family-resource-center-family-resource-center-support","published","Navarro High School Family Resource Center","service_area_names_city",""
"half-helen-foundation-community-eye-exams","published","Half Helen Foundation","address_without_in_person",""
"volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","archived","Volunteer Legal Services of Central Texas","hours_one_language_only",""
"all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","published","All Saints Episcopal Church Rent and Utility Assistance","hours_one_language_only",""
"uplift-university-presbyterian-church-uplift-university-presbyterian-church","published","UPLift @ University Presbyterian Church","hours_one_language_only",""
"uplift-university-presbyterian-church-uplift-university-presbyterian-church","published","UPLift @ University Presbyterian Church","phone_not_dashed","512-476-5321 ext. 114"
"austin-resource-center-for-the-homeless-arch-austin-resource-center-for-the-homeless-arch","published","Austin Resource Center for the Homeless (ARCH)","service_area_names_city",""
"safe-alliance-safe-alliance","published","The SAFE Alliance (SAFE)","address_without_in_person",""
"central-health-medical-access-program-map","published","Central Health","address_without_in_person",""
"clinicas-de-inscripcion-a-seguro-medico-austin-voices-for-education-and-youth-avey","published","Austin Voices for Education and Youth (AVEY)","in_person_without_address",""
"nutricion-y-beneficios-wic-texas-wic","published","Texas WIC","in_person_without_address",""
"ayuda-para-usar-mychart-austin-voices-for-education-and-youth-avey","published","Austin Voices for Education and Youth (AVEY)","in_person_without_address",""
"centros-de-salud-y-bienestar-central-health","published","Central Health","in_person_without_address",""
"austin-water-customer-service-taps","draft","Austin Water","address_without_in_person",""
"city-of-austin-vital-statistics","published","City of Austin – Austin Public Health","service_area_names_city",""
"social-security-office","published","U.S. Social Security Administration (SSA)","service_area_names_city",""
"us-bankruptcy-clerk","published","United States Bankruptcy Court – Western District of Texas","service_area_names_city",""
"us-citizenship-and-immigration-services-uscis","published","U.S. Department of Homeland Security – U.S. Citizenship and Immigration Services","in_person_without_address",""
"atencion-para-veteranos-sin-hogar-de-va-central-texas-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA Central Texas)","address_without_in_person",""
"programa-de-alcance-de-justicia-para-veteranos-central-texas-u-s-department-of-veterans-affairs-vha","published","U.S. Department of Veterans Affairs (VHA)","address_without_in_person",""
"clinica-va-de-cedar-park-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA) – VA Central Texas Healthcare System","service_area_names_city",""
"op-veteran-op-veteran","published","OP Veteran","in_person_without_address",""
"meals-for-vets-comidas-para-veteranos-meals-for-vets","published","Meals for Vets","address_without_in_person",""
"agencia-de-area-sobre-el-envejecimiento-del-area-capital-aaacap-adrc-capcog-capital-area-council-of-governments-capcog","draft","Capital Area Council of Governments (CAPCOG)","address_without_in_person",""
"meals-on-wheels-central-texas-mowct-meals-on-wheels-central-texas","archived","Meals on Wheels Central Texas","address_without_in_person",""
"meals-on-wheels-rural-capital-area-combined-community-action-inc","draft","Combined Community Action, Inc.","in_person_without_address",""
"proyecto-de-solicitud-simplificada-de-texas-tsap-snap-para-adultos-mayores-feeding-texas-texas-hhsc","published","Feeding Texas / Texas HHSC","in_person_without_address",""
"drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","in_person_without_address",""
"ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","service_area_names_city",""
"closet-de-equipo-cpath-cerebral-palsy-awareness-transition-hope-cpath-cerebral-palsy-awareness-transition-hope","published","Cerebral Palsy Awareness Transition Hope (CPATH Texas)","service_area_names_city",""
"manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","published","Manos de Cristo, Inc.","address_without_in_person",""
"manos-de-cristo-salud-dental-necesidades-basicas-y-educacion-manos-de-cristo-inc","published","Manos de Cristo, Inc.","service_area_names_city",""
"austin-habitat-for-humanity-reparacion-de-vivienda-bastrop-austin-habitat-for-humanity","draft","Austin Habitat for Humanity","address_without_in_person",""
"carts-now-bastrop-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"carts-now-elgin-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"servicio-local-de-la-ciudad-de-smithville-carts-carts-en-contrato-con-la-ciudad-de-smithville","draft","CARTS, en contrato con la Ciudad de Smithville","in_person_without_address",""
"carts-metro-connector-ruta-990-manor-elgin-express-carts-en-coordinacion-con-capital-metro","draft","CARTS, en coordinación con Capital Metro","in_person_without_address",""
"drive-a-senior-transporte-para-adultos-mayores-del-centro-de-texas-drive-a-senior-antes-chariot","draft","Drive a Senior (antes ""Chariot"")","in_person_without_address",""
"sociedad-de-san-vicente-de-paul-iglesia-sagrado-corazon-elgin-sacred-heart-catholic-church-sociedad-de-san-vicente-de-paul","draft","Sacred Heart Catholic Church / Sociedad de San Vicente de Paúl","address_without_in_person",""
"sociedad-de-san-vicente-de-paul-iglesia-st-paul-smithville-st-paul-catholic-church-sociedad-de-san-vicente-de-paul","draft","St. Paul Catholic Church / Sociedad de San Vicente de Paúl","address_without_in_person",""
"servicio-de-referencia-e-informacion-de-abogados-del-colegio-de-abogados-de-texas-state-bar-of-texas","draft","State Bar of Texas","address_without_in_person",""
"centro-de-crisis-familiar-refugio-del-condado-de-bastrop-family-crisis-center-inc","draft","Family Crisis Center, Inc.","in_person_without_address",""
"servicios-de-cuidado-infantil-workforce-solutions-rural-capital-area-workforce-solutions-rural-capital-area-wsrca","draft","Workforce Solutions Rural Capital Area (WSRCA)","in_person_without_address",""
"pflugerville-health-center-communitycare-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"del-valle-health-wellness-center-communitycare-central-health-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"manor-mustang-health-center-people-s-community-clinic-integral-care-people-s-community-clinic-integral-care","published","People's Community Clinic / Integral Care","service_area_names_city",""
"manor-isd-project-hope-mckinney-vento-manor-independent-school-district","published","Manor Independent School District (Manor ISD)","in_person_without_address",""
"del-valle-isd-apoyo-estudiantil-y-familiar-del-valle-independent-school-district","published","Del Valle Independent School District","address_without_in_person",""
"lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care","published","Lone Star Circle of Care","in_person_without_address",""
"lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care","published","Lone Star Circle of Care","service_area_names_city",""
"lake-travis-isd-oficina-de-programas-comunitarios-lake-travis-independent-school-district","published","Lake Travis Independent School District","in_person_without_address",""
"eanes-care-eanes-isd-eanes-independent-school-district","published","Eanes Independent School District","in_person_without_address",""
"west-lake-hills-registro-de-emergencias-stear-city-of-west-lake-hills","published","City of West Lake Hills – State of Texas Emergency Assistance Registry (STEAR)","address_without_in_person",""
"trla-lassa-asistencia-legal-para-sobrevivientes-de-agresion-sexual-texas-riogrande-legal-aid","published","Texas RioGrande Legal Aid (TRLA) – Legal Aid for Survivors of Sexual Assault (LASSA)","in_person_without_address",""
"capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","address_without_in_person",""
"capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","service_area_names_city",""
"capmetro-ruta-271-del-valle-feeder-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 271 Del Valle","service_area_names_city",""
"capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","address_without_in_person",""
"capmetro-ruta-214-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 214","service_area_names_city",""
"capmetro-pickup-manor-dessau-lago-vista-capital-metropolitan-transportation-authority-capmetro","published","Capital Metro – CapMetro Pickup","service_area_names_city",""
"pfetch-a-ride-ciudad-de-pflugerville-uber-city-of-pflugerville","published","City of Pflugerville – Pfetch a Ride","service_area_names_city",""
"pflugerville-meadows-vivienda-asequible-texas-housing-foundation","published","Texas Housing Foundation – Pflugerville Meadows","service_area_names_city",""
"asistencia-de-pago-inicial-hill-country-home-travis-county-housing-finance-corporation-travis-county-housing-finance-corporation","published","Travis County Housing Finance Corporation (TCHFC)","address_without_in_person",""
"lake-travis-isd-programas-para-estudiantes-sin-hogar-mckinney-vento-lake-travis-independent-school-district","published","Lake Travis ISD – McKinney-Vento Program","address_without_in_person",""
"st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","published","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","address_without_in_person",""
"st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","published","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","service_area_names_city",""
"first-baptist-church-pflugerville-despensa-de-alimentos-first-baptist-church-pflugerville","published","First Baptist Church Pflugerville","service_area_names_city",""
"first-united-methodist-church-of-pflugerville-despensa-paula-s-y-ropero-first-united-methodist-church-of-pflugerville","published","First United Methodist Church of Pflugerville","service_area_names_city",""
"st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","published","St. Joseph Catholic Church – Society of St. Vincent de Paul","address_without_in_person",""
"st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","published","St. Joseph Catholic Church – Society of St. Vincent de Paul","service_area_names_city",""
"sacred-heart-catholic-church-elgin-sociedad-de-san-vicente-de-paul-sacred-heart-catholic-church","published","Sacred Heart Catholic Church – St. Vincent de Paul","service_area_names_city",""
"haynie-chapel-united-methodist-church-despensa-de-alimentos-haynie-chapel-united-methodist-church","published","Haynie Chapel United Methodist Church","service_area_names_city",""
"ayuda-para-renta-servicios-publicos-alimentos-y-necesidades-basicas-sacred-heart-catholic-church-st-vincent-de-paul-conference","published","Sacred Heart Catholic Church – St. Vincent de Paul Conference","address_without_in_person",""
"ayuda-para-renta-servicios-publicos-alimentos-y-necesidades-basicas-sacred-heart-catholic-church-st-vincent-de-paul-conference","published","Sacred Heart Catholic Church – St. Vincent de Paul Conference","service_area_names_city",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","in_person_without_address",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","service_area_names_city",""
"stonehaven-resident-council-williamson","draft","Stonehaven Resident Council","no_contact_method",""
"san-gabriel-unitarian-universalist-fellowship-williamson","draft","San Gabriel Unitarian Universalist Fellowship","no_contact_method",""
"city-reach-church-williamson","draft","City Reach Church","no_contact_method",""
"live-oak-unitarian-universalist-church-cedar-park","draft","Live Oak Unitarian Universalist Church","no_contact_method",""
"rockbridge-church-williamson","draft","Rockbridge Church","no_contact_method",""
"round-mountain-baptist-church-williamson","draft","Round Mountain Baptist Church","no_contact_method",""
"agape-food-pantry-of-taylor-williamson","draft","Agape Food Pantry of Taylor","no_contact_method",""
"zion-chapel-missionary-baptist-church-williamson","draft","Zion Chapel Missionary Baptist Church","no_contact_method",""
"jarrell-isd-cafeteria-williamson","draft","Jarrell ISD Cafeteria","no_contact_method",""
"knights-of-columbus-hall-williamson","draft","Knights of Columbus Hall","no_contact_method",""
"florence-high-school-williamson","draft","Florence High School","no_contact_method",""
"helping-hands-with-coordination-of-various-churches-williamson","draft","Helping Hands with coordination of various churches","no_contact_method",""
"shoreline-north-austin-mobile-pantry-travis","draft","Shoreline - North Austin Mobile Pantry","no_contact_method",""
"foundation-communities-crossroads-travis","draft","Foundation Communities - Crossroads","no_contact_method",""
"foundation-communities-parker-lane-travis","draft","Foundation Communities - Parker Lane","no_contact_method",""
"bethany-united-methodist-church-travis","draft","Bethany United Methodist Church","no_contact_method",""
"austin-city-lutherans-bread-for-all-pantry-travis","draft","Austin City Lutherans - Bread For All Pantry","no_contact_method",""
"pflugerville-mobile-food-pantry-travis","draft","Pflugerville Mobile Food Pantry","no_contact_method",""
"travis-co-jonestown-community-center-travis","draft","Travis Co. Jonestown Community Center","no_contact_method",""
"austin-baptist-chapel-angel-house-soup-kitchen-travis","draft","Austin Baptist Chapel - Angel House Soup Kitchen","no_contact_method",""
"first-baptist-church-of-bastrop-bastrop","draft","First Baptist Church of Bastrop","no_contact_method",""
"cedar-creek-united-methodist-church-bastrop","archived","Cedar Creek United Methodist Church","no_contact_method",""
